date,temp_min,temp_max,weathercode
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.6,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.7,3
2026-09-23,23.0,28.7,3
2026-09-23,23.0,28.7,3
2026-09-23,23.0,28.7,3
2026-09-23,23.0,28.7,3
2026-09-23,23.0,28.7,3
2026-09-23,23.0,28.7,3
2026-09-23,23.0,28.7,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-23,23.0,28.4,3
2026-09-24,22.7,28.4,3
2026-09-24,22.7,28.4,3
2026-09-24,22.6,28.6,3
2026-09-24,22.6,28.6,3
2026-09-24,22.6,28.6,3
2026-09-24,22.6,28.6,3
2026-09-24,22.6,28.6,3
2026-09-24,22.6,28.6,3
2026-09-24,22.6,28.6,3
2026-09-24,22.6,28.6,3
2026-09-24,22.5,28.7,3
